Trade_Regime (Import / Export / Transit),Origin_Country,Destination_Port,Destination_Country,HS_Code,Declared_Value,Declared_Weight,Measured_Weight,Shipping_Line,Dwell_Time_Hours,month,day,weekday,hour,weight_diff,weight_ratio,value_per_weight,long_dwell
0,71,28,14,420231,1248.7,1.0,1.041,54,67.6,4,1,3,4,0.040999999999999925,0.5205,624.35,1
0,79,21,4,711311,1365.35,4.7,4.915,52,10.9,4,1,3,22,0.21499999999999986,0.862280701754386,239.53508771929822,0
0,17,28,11,390690,1105800.0,19000.0,19307.8,52,57.4,4,1,3,12,307.7999999999993,1.016146518604284,58.19693700331562,1
0,17,36,4,392690,165.0,275.0,287.98,54,5.8,4,1,3,8,12.980000000000018,1.0434057971014494,0.5978260869565217,0
0,17,28,0,871390,113937.6,42.0,40.58,54,18.4,4,1,3,21,-1.4200000000000017,0.9437209302325581,2649.711627906977,0
0,88,21,3,130219,27511000.0,305000.0,301248.5,52,38.6,4,1,3,1,-3751.5,0.9876967616499618,90.1997042632647,0
0,64,28,10,844399,1529.5,23.0,20.604,52,32.0,4,1,3,18,-2.396000000000001,0.8584999999999999,63.729166666666664,0
0,21,28,11,902131,1170203.64,78.8,77.24,54,27.6,4,1,3,9,-1.5600000000000023,0.9679197994987468,14664.206015037593,0
0,17,21,12,560311,462520.8,2394.0,2760.378,52,49.5,4,1,3,5,366.37800000000016,1.1525586638830898,193.11933194154489,1
0,66,28,14,620640,567.0,1.0,0.953,52,15.5,4,1,3,4,-0.04700000000000004,0.4765,283.5,0
0,17,21,14,852872,54275.0,26.0,24.861,52,17.8,4,1,3,10,-1.1389999999999993,0.9207777777777778,2010.1851851851852,0
0,17,28,6,420330,347193.6,1014.0,974.15,52,20.8,4,1,3,13,-39.85000000000002,0.9597536945812808,342.06266009852214,0
0,79,28,12,160529,2261.5,1.0,0.964,52,23.1,4,1,3,5,-0.03600000000000003,0.482,1130.75,0
0,41,21,11,420222,548.96,4.7,4.807,67,55.7,4,1,3,5,0.1070000000000002,0.8433333333333334,96.30877192982456,1
0,85,21,3,847990,47058.45,208.5,190.644,19,7.0,4,1,3,20,-17.855999999999995,0.9099952267303103,224.62267303102624,0
0,17,21,11,70310,2272800.0,24000.0,23860.8,54,36.9,4,1,3,6,-139.20000000000073,0.9941585767259697,94.69605433106953,0
0,13,28,14,210690,38114.45,301.3,292.02,52,26.4,4,1,3,2,-9.28000000000003,0.9659940456500165,126.08154151505126,0
0,39,28,14,293020,59582160.0,7200.0,7071.84,54,28.9,4,1,3,15,-128.15999999999985,0.9820636022774615,8274.150812387168,0
0,10,28,6,100590,1130153472.0,11079936.0,10738673.971,67,20.4,4,1,3,13,-341262.02899999917,0.9691999125085279,101.99999079417148,0
0,66,19,1,620469,5271.2,11.0,11.074,54,45.1,4,1,3,19,0.07399999999999984,0.9228333333333333,439.26666666666665,0
0,17,25,8,721190,61656.1,26807.0,27509.343,52,64.0,4,1,3,16,702.3430000000008,1.0261617054610563,2.2999142047150105,1
0,17,21,10,620892,94742.2,1147.0,1135.759,52,40.2,4,1,3,23,-11.240999999999985,0.9893371080139373,82.52804878048781,0
0,41,28,8,852349,90.1,0.5,0.485,14,27.4,4,1,3,8,-0.015000000000000013,0.3233333333333333,60.06666666666666,0
0,17,27,0,690721,536817.4,80122.0,73007.968,52,15.6,4,1,3,11,-7114.0320000000065,0.9111986321031413,6.699916378567952,0
0,21,28,1,890690,22638.0,110.0,110.792,52,51.4,4,1,3,10,0.7920000000000016,0.9981261261261262,203.94594594594594,1
0,17,24,13,291539,6754000.0,22000.0,21498.4,67,25.6,4,1,3,18,-501.59999999999854,0.9771555838370983,306.98604608881413,0
0,17,19,13,392690,72.0,120.0,115.104,52,19.8,4,1,3,6,-4.896000000000001,0.9512727272727273,0.5950413223140496,0
0,41,28,4,848340,36003.81,106.3,95.448,52,29.7,4,1,3,4,-10.852000000000004,0.8895433364398881,335.54342963653306,0
0,41,28,12,382499,198000.0,15840.0,17029.901,54,2.9,4,1,3,9,1189.9010000000017,1.0750521431727795,12.499210908402247,0
0,85,21,3,292800,73.72,0.1,0.096,52,20.8,4,1,3,3,-0.0040000000000000036,0.08727272727272727,67.01818181818182,0
0,17,28,8,853690,1210.3,6.5,6.794,19,10.5,4,1,3,3,0.2939999999999996,0.9058666666666666,161.37333333333333,0
0,17,21,1,442090,17.0,10.0,10.012,54,41.5,4,1,3,17,0.012000000000000455,0.9101818181818182,1.5454545454545454,0
0,41,28,14,760200,354485.6,36172.0,35383.45,54,26.3,4,1,3,16,-788.5500000000029,0.9781729466729328,9.79972907970033,0
0,13,21,6,870324,15540.8,1766.0,2044.745,52,50.6,4,1,3,7,278.7449999999999,1.1571844934917939,8.795019807583474,1
0,17,28,14,442010,406.8,18.0,21.619,52,97.3,4,1,3,12,3.6189999999999998,1.137842105263158,21.410526315789475,1
0,17,19,4,960390,511.82,32.6,31.123,54,10.8,4,1,3,2,-1.4770000000000003,0.9262797619047619,15.232738095238094,0
0,25,21,8,482110,0.77,0.7,0.685,52,32.3,4,1,3,3,-0.014999999999999902,0.4029411764705883,0.45294117647058824,0
0,17,28,0,821420,12052.8,72.0,70.106,54,23.3,4,1,3,10,-1.8940000000000055,0.9603561643835615,165.10684931506847,0
0,17,28,13,731940,15201.9,2667.0,2420.863,54,12.5,4,1,3,9,-246.13700000000017,0.907369940029985,5.697863568215892,0
0,88,9,14,940350,2244200.0,14000.0,14506.8,52,70.6,4,1,3,17,506.7999999999993,1.0361259910006428,160.28855081779872,1
0,17,28,6,660199,3728.0,40.0,40.428,54,47.8,4,1,3,8,0.42799999999999727,0.9860487804878049,90.92682926829268,0
0,17,24,12,540782,120750.0,75.0,77.602,50,69.6,4,1,3,16,2.602000000000004,1.0210789473684212,1588.8157894736842,1
0,17,21,6,851890,1.75,2.5,2.642,52,114.7,4,1,3,0,0.1419999999999999,0.7548571428571428,0.5,1
0,85,0,13,870431,13368609.2,1996.0,2005.381,52,49.8,4,1,3,7,9.381000000000085,1.0041967951927893,6694.346119178767,1
0,28,21,1,630720,2007.5,5.0,4.984,54,38.5,4,1,3,16,-0.016000000000000014,0.8306666666666667,334.5833333333333,0
0,33,21,4,293499,1.32,0.4,0.406,52,57.4,4,1,3,17,0.006000000000000005,0.29000000000000004,0.942857142857143,1
0,17,24,11,200591,6059772.0,19116.0,19569.049,52,62.3,4,1,3,13,453.04899999999907,1.0236464403410577,316.98341790029815,1
0,17,28,13,900490,644.49,3.3,3.165,58,13.8,4,1,3,7,-0.1349999999999998,0.736046511627907,149.88139534883723,0
0,17,24,4,391610,57504.82,112.6,107.837,52,18.8,4,1,3,10,-4.762999999999991,0.9492693661971832,506.20440140845074,0
0,5,21,11,20130,5019545.95,1386.5,1396.483,52,51.4,4,1,3,17,9.982999999999947,1.006474234234234,3617.690774774775,1
0,17,28,0,71080,30232800.0,114000.0,108721.8,54,10.1,4,1,3,2,-5278.199999999997,0.9536916342839098,265.19767370461665,0
0,68,28,13,630720,52636.65,131.1,133.617,54,53.4,4,1,3,8,2.516999999999996,1.0114837244511734,398.46063588190765,1
0,17,24,10,71080,14073600.0,48000.0,46665.6,52,28.3,4,1,3,1,-1334.4000000000015,0.9721797462552864,293.19389179392095,0
0,21,21,1,220890,1346.34,5.7,6.262,52,36.5,4,1,3,19,0.5619999999999994,0.9346268656716417,200.9462686567164,0
0,28,21,14,902519,849.6,8.0,8.278,52,69.6,4,1,3,9,0.27800000000000047,0.9197777777777778,94.4,1
0,41,28,13,821191,42951.35,84.5,90.848,52,8.9,4,1,3,8,6.347999999999999,1.0625497076023391,502.3549707602339,0
0,57,21,14,852872,7383110.0,20300.0,19979.26,52,36.3,4,1,3,5,-320.7400000000016,0.9841515196295748,363.68208462637307,0
0,57,28,3,392690,4.32,7.2,8.071,54,35.9,4,1,3,23,0.8709999999999996,0.9842682926829269,0.5268292682926831,0
0,85,28,10,853669,28.04,0.4,0.403,52,52.4,4,1,3,8,0.0030000000000000027,0.28785714285714287,20.02857142857143,1
0,17,28,8,621149,2115.72,16.2,16.365,52,53.4,4,1,3,0,0.16499999999999915,0.951453488372093,123.00697674418603,1
0,17,24,1,392350,1064.0,140.0,140.938,54,45.1,4,1,3,16,0.9379999999999882,0.9995602836879431,7.546099290780142,0
0,85,25,6,10620,11830.8,4.0,3.863,20,18.1,4,1,3,10,-0.137,0.7726,2366.16,0
0,85,22,13,870323,19608.0,2580.0,2470.866,52,18.8,4,1,3,8,-109.13400000000001,0.9573289422704379,7.597055404881829,0
0,17,28,11,30192,4585262.5,1015.0,1036.518,54,54.7,4,1,3,18,21.51800000000003,1.0201948818897637,4513.053641732284,1
0,17,24,8,392690,39.0,65.0,63.648,52,33.0,4,1,3,22,-1.3519999999999968,0.9643636363636364,0.5909090909090909,0
0,17,24,14,392690,120.0,200.0,179.932,52,27.8,4,1,3,16,-20.068000000000012,0.89518407960199,0.5970149253731343,0
0,17,12,14,852990,79330.0,20.0,19.264,28,22.4,4,1,3,14,-0.7360000000000007,0.9173333333333333,3777.6190476190477,0
0,21,24,4,870324,10920.0,2100.0,2297.064,54,29.4,4,1,3,13,197.06399999999985,1.0933193717277485,5.197524988100905,0
0,17,24,11,732690,55218.0,36812.0,39341.721,52,122.3,4,1,3,15,2529.7209999999977,1.0686909787303398,1.49995925352457,1
0,17,28,13,871160,1209130.0,3550.0,4757.142,54,128.4,4,1,3,20,1207.1419999999998,1.3396626302450014,340.5040833568009,1
0,85,21,8,853710,1262.1,4.2,3.759,52,32.7,4,1,3,6,-0.4410000000000003,0.7228846153846153,242.71153846153842,0
0,17,19,10,392690,42.0,70.0,72.604,54,65.2,4,1,3,16,2.603999999999999,1.0225915492957747,0.5915492957746479,1
